bathrooms,bedrooms,city,country,currency,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceForHDP,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,zestimate,zipcode,zpid,unit
4.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/41defc42179a5286a37528856609af7c-p_e.jpg,False,True,False,False,False,False,False,29.766603,{'is_FSBA': True},2416.0,-95.39332,sqft,1890.0,530000.0,530000.0,3114.0,False,TX,3334 Green Tree Park,500793.0,532100.0,77007,62585985,Not Available
3.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/4ad5b849bde9c537b75274444b566163-p_e.jpg,False,True,False,False,False,False,False,29.75824,{'is_FSBA': True},1702.0,-95.48346,acres,9.1266,320000.0,320000.0,2567.0,False,TX,738 Augusta Dr #312,249824.0,319500.0,77057,28263944,# 312
2.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/86085c16694a5e81d268a41268ec63f9-p_e.jpg,False,True,False,False,False,False,False,29.871073,{'is_FSBA': True},1599.0,-95.462746,sqft,8450.64,274900.0,274900.0,1694.0,False,TX,7503 Athlone Dr,198431.0,274900.0,77088,28173454,Not Available
2.0,3.0,Kingwood,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8aa5804676d9576f660c344ba8c00d5e-p_e.jpg,False,True,False,False,False,False,False,30.064898,{'is_FSBA': True},1936.0,-95.24092,sqft,6869.412,305000.0,305000.0,2227.0,False,TX,21345 Somerset Shores Xing,208360.0,305100.0,77339,296379646,Not Available
2.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/474f113a7479d83e6a1ac7f94b1bbaec-p_e.jpg,False,True,False,False,False,False,False,29.805473,{'is_FSBA': True},1218.0,-95.37791,sqft,5000.688,715000.0,715000.0,1849.0,False,TX,1512 Northwood St,347554.0,726800.0,77009,27778678,Not Available
3.0,4.0,Missouri City,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c93a4bbd03b54abcfc2a7d6e87f8b8e3-p_e.jpg,False,True,False,False,False,False,False,29.605568,{'is_FSBA': True},1413.0,-95.49727,sqft,4112.064,249000.0,249000.0,1666.0,False,TX,7410 Gatecraft Dr,168700.0,252000.0,77489,82713227,Not Available
3.0,4.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2d25fe98488af8476c2c040338da311a-p_e.jpg,False,True,False,False,False,False,False,30.009155,{'is_FSBA': True},1820.0,-95.40915,sqft,5684.58,235000.0,235000.0,2095.0,False,TX,16314 W Lady Fern Ln,211917.0,237700.0,77073,62564474,Not Available
2.0,4.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/fp/86cd6cd92c284e80dde216898be6210d-p_e.jpg,False,True,False,False,False,False,False,29.815783,{'is_FSBA': True},2240.0,-95.3689,sqft,5549.544,345000.0,345000.0,2482.0,False,TX,215 Caplin St,197825.0,345000.0,77022,27858486,Not Available
4.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/74c85eae4b99ae38e1001806013c6dc5-p_e.jpg,False,True,False,False,False,False,False,29.78728,{'is_FSBA': True},3318.0,-95.4918,sqft,3798.432,925000.0,925000.0,5518.0,False,TX,100 S Creekside Ct,882570.0,924900.0,77055,80554550,Not Available
4.0,4.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f542128d4a1a5b487fc4f9f0dedc5313-p_e.jpg,False,True,False,False,False,False,False,29.776308,{'is_FSBA': True},3590.0,-95.63004,acres,0.2904,815000.0,815000.0,4304.0,False,TX,755 Last Arrow Dr,595986.0,821400.0,77079,28356259,Not Available
2.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fd58bdc5870315900e0c76411964de24-p_e.jpg,False,True,False,False,False,False,False,29.62589,{'is_FSBA': True},1560.0,-95.38211,sqft,4469.256,274000.0,274000.0,1933.0,False,TX,12314 Skyview Rise Ct,235043.0,275600.0,77047,244112464,Not Available
3.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=29.805831909179688,-95.38726806640625&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=aoiF-Hq4f4EN251W7yzyQV6Wf-k=",False,True,False,False,False,False,False,29.805832,{'is_FSBA': True},1940.0,-95.38727,sqft,5000.688,775000.0,775000.0,4845.0,False,TX,1125 Adele St,630000.0,792800.0,77009,27783356,Not Available
3.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/85f0396e4c1d0bf83986a0401273f984-p_e.jpg,False,True,False,False,False,False,False,29.678263,{'is_FSBA': True},2156.0,-95.45339,sqft,8498.556,499900.0,499900.0,2926.0,False,TX,9610 Cliffwood Dr,202732.0,498400.0,77096,28041849,Not Available
